Code,StationName,Staffed,StationType,Address1,Address2,City,State,Zip,Country,Division,TimeZone,Latitude/Longitude,Elevation,Population
BED,"Bend (Bus Station), Oregon",N,Station Building (with waiting room),1555 NE Forbes Road,at Lava Lanes Bowling Alley,Bend,OR,97701,United States,Pacific Northwest,P,"44.055598,-121.282490",3664,71892
BEL,"Bellingham, Washington",Y,Station Building (with waiting room),401 Harris Avenue,,Bellingham,WA,98225,United States,Pacific Northwest,P,"48.720263,-122.511255",13,80000
BEN,"Benson, Arizona",N,Platform with Shelter,105 East 4th Street,,Benson,AZ,85602-6611,United States,Southwest,M,"31.968758,-110.296904",3589,4890
BER,"Berlin, Connecticut",Y,Station Building (with waiting room),51 Depot Road,,Kensington,CT,06037,United States,Northeast,E,"41.635595,-72.765274",62,15121
BET,"South Beloit, Illinois",N,Curbside Bus Stop only (no shelter),15766 Manchester Road,McDonalds/BP Amoco Travel Plaza,South Beloit,IL,61080-9723,United States,Central,C,"42.490067,-88.989116",798,5507
BFD,"Bakersfield, California",Y,Station Building (with waiting room),601 Truxtun Avenue,Off Truxtun Ave and S Street,Bakersfield,CA,93301-5319,United States,Pacific,P,"35.372140,-119.008210",406,240000
BFT,"Belfast, Maine",N,Curbside Bus Stop only (no shelter),22 Belmont Avenue,Shell Station/Dead River Convenience Store,Belfast,ME,04915,United States,Northeast,E,"44.422692,-69.025984",199,6803
BFX,"Buffalo (Exchange St), New York",Y,Station Building (with waiting room),75 Exchange Street,,Buffalo,NY,14203,United States,Northeast,E,"42.878449,-78.873748",587,315000
BGP,"Big Rapids, Michigan",N,Curbside Bus Stop only (no shelter),14342 Northland Drive,Ferris State Fitness Center,Big Rapids,MI,49307-2373,United States,Central,E,"43.673182,-85.480951",1004,12603
BHM,"Birmingham, Alabama",Y,Station Building (with waiting room),1819 Morris Avenue,,Birmingham,AL,35203-3109,United States,Southern,C,"33.512467,-86.807364",644,1212848
BIN,"Berlin, New Hampshire",N,Curbside Bus Stop only (no shelter),318 Glen Avenue,Irving Station/Circle K Convenience Store,Berlin,NH,03570-1900,United States,Northeast,E,"44.459040,-71.187430",941,9954
BKO,"Brookings, Oregon",N,Station Building (with waiting room),624 Railroad Street  ,Southwest Point Depot,Brookings,OR,97415,United States,Pacific,P,"42.050778,-124.281564",130,
BKY,"Berkeley, California",N,Platform only (no shelter),700 University Avenue,Under University Av overpass west of 4th St,Berkeley,CA,94710-1924,United States,Pacific,P,"37.867254,-122.300707",16,101555
BLF,"Bellows Falls, Vermont",N,Station Building (with waiting room),54 Depot Street,,Bellows Falls,VT,05101-1356,United States,Northeast,E,"43.136540,-72.444597",305,3025
BMM,"Birmingham, Michigan",N,Platform with Shelter,Villa Road and Lewis Street,,Birmingham,MI,48009,United States,Central,E,"42.545509,-83.194198",750,19185
BMT,"Beaumont, Texas",N,Platform only (no shelter),2555 West Cedar Street,,Beaumont,TX,77704,United States,Southwest,C,"30.076458,-94.127367",15,109856
BNC,"Burlington, North Carolina",N,Station Building (with waiting room),101 North Main Street,,Burlington,NC,27217,United States,Southern,E,"36.094225,-79.434531",662,48400
BND,"Bend (Hawthorne Intermodal Center), Oregon",N,Curbside Bus Stop only (no shelter),334 Hawthorne Avenue,Hawthorne Station Intermodal Center,Bend,OR,97701,United States,Pacific Northwest,P,"44.058220,-121.301266",3646,71892
BNF,"Branford, Connecticut",,Pseudo Station,39 Maple Street,,Branford,CT,06405,United States,Shore Line East,E,"null,null",,
BNG,"Bingen-White Salmon, Washington",N,Platform with Shelter,Highway 14 and Walnut Street,,Bingen,WA,98605,United States,Pacific Northwest,P,"45.715020,-121.468730",115,500
BNL,"Bloomington-Normal, Illinois",Y,Station Building (with waiting room),100 East Parkinson Street,,Normal,IL,61761-3015,United States,Central,C,"40.508192,-88.984093",788,100000
BNS,"Burns, Oregon",N,Curbside Bus Stop only (no shelter),63 North Buena Vista,Figaro's Italian Kitchen,Burns,OR,97720,United States,Pacific Northwest,P,"43.586545,-119.056491",4154,2745
BOI,"Boise, Idaho",N,Station Building (with waiting room),1212 West Bannock Street,Greyhound Station,Boise,ID,83702-5619,United States,Pacific Northwest,P,"43.619899,-116.207169",2696,163000
BON,"Boston (North Station), Massachusetts",Y,Station Building (with waiting room),135 Causeway Street,Under the TD Garden,Boston,MA,02114,United States,Northeast,E,"42.366235,-71.061122",10,641071
BOS,"Boston (South Station), Massachusetts",Y,Station Building (with waiting room),2 South Station,Summer Street & Atlantic Avenue,Boston,MA,02110,United States,Northeast,E,"42.352311,-71.055304",14,641071
BRA,"Brattleboro, Vermont",N,Station Building (with waiting room),10 Vernon Road,,Brattleboro,VT,05301-3389,United States,Northeast,E,"42.850849,-72.556497",235,8289
BRH,"Brookhaven, Mississippi",N,Station Building (with waiting room),440 North Railroad Avenue,Godbold Transportation Center,Brookhaven,MS,39601-3839,United States,Southern,C,"31.582961,-90.441070",484,9983
BRK,"Brunswick, Maine",N,Curbside Bus Stop only (no shelter),16 Station Avenue,Brunswick Visitors' Center,Brunswick,ME,04011,United States,Northeast,E,"43.911388,-69.965541",131,14816
BRL,"Burlington, Iowa",N,Station Building (with waiting room),300 South Main Street,,Burlington,IA,52601,United States,Central,C,"40.805788,-91.101951",538,27208
BRO,"Browning, Montana",N,Station Building (with waiting room),Heart Butte Road and Depot Road,,Browning,MT,59417,United States,Pacific Northwest,M,"48.534067,-113.013151",4484,1065
BRP,"Bridgeport, Connecticut",N,Station Building (with waiting room),525 Water Street,Metro North Station,Bridgeport,CT,06604-4315,United States,Northeast,E,"41.178006,-73.187539",37,142546
BTL,"Battle Creek, Michigan",Y,Station Building (with waiting room),119 McCamly Street South,,Battle Creek,MI,49017-3521,United States,Central,E,"42.318453,-85.187825",822,92144
BTR,"Baton Rouge, Louisiana",N,Curbside Bus Stop only (no shelter),1253 Florida Boulevard,Greyhound Bus Station,Baton Rouge,LA,70802,United States,Southern,C,"30.449741,-91.176374",53,229553
BUF,"Buffalo-Depew, New York",Y,Station Building (with waiting room),55 Dick Road,,Depew,NY,14043,United States,Northeast,E,"42.907017,-78.726584",674,313000
BUL,"Buellton, California",N,Curbside Bus Stop only (no shelter),238 East Highway 246,Burger King Restaurant,Buellton,CA,93427,United States,Pacific,P,"34.610660,-120.186595",358,4278
BUR,"Burbank (Airport), California",N,Platform with Shelter,3750 Empire Avenue,,Burbank,CA,91505,United States,Southwest,P,"34.193072,-118.353767",689,95000
BVD,"Beaver Dam, Wisconsin",N,Curbside Bus Stop only (no shelter),817 Park Avenue,Crossroads Shell Station,Beaver Dam,WI,53916,United States,Central,C,"43.456040,-88.816942",891,
BWC,"Brunswick (Bowdoin College), Maine",N,Curbside Bus Stop only (no shelter),"Campus Bus Stop at Druckenmiller Hall, Sills Road",,Brunswick,ME,04011,United States,Northeast,E,"43.909295,-69.959306",72,14816
BWE,"Bowie State, Maryland",,Pseudo Station,13900 Old Jericho Park Road,MARC Station - Bowie State University,Bowie,MD,20715,,MARC,E,"null,null",,
BWI,"BWI Thurgood Marshall Airport Station, Maryland",Y,Station Building (with waiting room),7 Amtrak Way,Amtrak/MARC Station,BWI Airport,MD,21240-0642,United States,Mid-Atlantic,E,"39.192362,-76.694300",63,50000
BWK,"Brunswick, Maryland",,Pseudo Station,100 South Maple Ave.,MARC Station,Brunswick,MD,21716-1147,United States,MARC,E,"null,null",,
BWW,"Brewster, Washington",N,Curbside Bus Stop only (no shelter),405 Highway 97,Triangle Shell ,Brewster,WA,98812,United States,Pacific,P,"48.103585,-119.781412",815,2600
BYD,"Boyds, Maryland",,Pseudo Station,15031 Clopper Road,MARC Station,Boyds,MD,20841,United States,MARC,E,"null,null",,
BYF,"Boyne Falls, Michigan",N,Curbside Bus Stop only (no shelter),2568 US Hwy 131 South,Mobil EZ Mart,Boyne Falls,MI,49713,United States,Central,E,"45.167539,-84.916986",710,340
BYN,"Bryan, Ohio",N,Station Building (with waiting room),Paige and Lynn Street,,Bryan,OH,43506,United States,Central,E,"41.480319,-84.551799",769,8348
CAL,California Rail Pass,,Pseudo Station,,,,,,,,,"null,null",,
CAM,"Camden, South Carolina",N,Station Building (with waiting room),1060 West Dekalb Street,,Camden,SC,29020,United States,Southern,E,"34.248157,-80.625190",174,6700
CAY,"Conway, New Hampshire",N,Curbside Bus Stop only (no shelter),13 West Main Street,First Stop Market & Deli,Conway,NH,03818,United States,Northeast,E,"43.978298,-71.126573",460,1692
CBN,Canadian Border New York,,Pseudo Station,,,,,,,,E,"43.109235,-79.058357",299,
CBO,"Cannon Beach, Oregon",N,Curbside Bus Stop only (no shelter),1170 South Hemlock Street,Sunset Empire Bus Stop across from Family Mkt,Cannon Beach,OR,97110,United States,Pacific Northwest,P,"45.889496,-123.961842",30,1500
CBR,"Cleburne, Texas",N,Station Building (with waiting room),206 North Border Street,Cleburne Intermodal Depot,Cleburne,TX,76031-4236,United States,Southwest,C,"32.349743,-97.382333",764,29689
CBS,"Columbus, Wisconsin",Y,Station Building (with waiting room),359 North Ludington Street,,Columbus,WI,53925,United States,Central,C,"43.340611,-89.012609",845,5093
CBY,"Coos Bay, Oregon",N,Curbside Bus Stop only (no shelter),126 East Market Avenue,Porter Stage Lines Bus Station,Coos Bay,OR,97420-2335,United States,Pacific Northwest,P,"43.369039,-124.213694",23,16000
CBZ,"Cabazon, California",N,Curbside Bus Stop only (no shelter),49500 Seminole Drive,"Morongo Casino, Hotel & Spa",Cabazon,CA,92230,United States,Southwest,P,"33.921822,-116.801756",1953,
CDE,"Cambridge, Maryland",N,Curbside Bus Stop only (no shelter),100 Heron Boulevard,Hyatt Regency Chesapeake Bay Resort,Cambridge,MD,21613,United States,Mid-Atlantic,E,"38.561752,-76.048392",28,
CDL,"Carbondale, Illinois",Y,Station Building (with waiting room),401 South Illinois Street,,Carbondale,IL,62901,United States,Central,C,"37.724235,-89.216628",416,20681
CDN,"Camden/Rockport, Maine",N,Curbside Bus Stop only (no shelter),20 Commercial Street,Maritime Farms,Rockport,ME,04856,United States,Northeast,E,"44.199095,-69.078634",123,3934
CEN,"Centralia, Illinois",N,Station Building (with waiting room),110 South Oak St.,at Broadway,Centralia,IL,62801-3526,United States,Central,C,"38.527531,-89.136118",490,15000
CER,"Coeur d'Alene, Idaho",N,Curbside Bus Stop only (no shelter),356 East Appleway Avenue,A&D Gas Station and Mini Mart,Coeur d'Alene,ID,83814,United States,Pacific Northwest,P,"47.701388,-116.808586",2208,
CFX,"Colfax, Washington",N,Curbside Bus Stop only (no shelter),610 South Main St.,Ace Hardware,Colfax,WA,99111,United States,Pacific Northwest,P,"46.875679,-117.365156",1989,
CHG,Charge,,Pseudo Station,,,,,,,,,"null,null",,
CHI,"Chicago (Union Station), Illinois",Y,Station Building (with waiting room),225 South Canal Street,,Chicago,IL,60606-5702,United States,Central,C,"41.878684,-87.639443",587,2833321
CHM,"Champaign-Urbana, Illinois",Y,Station Building (with waiting room),45 East University Avenue,2nd floor,Champaign,IL,61820-4046,United States,Central,C,"40.115843,-88.241366",737,73685
CHP,"Chippewa Falls, Wisconsin",N,Curbside Bus Stop only (no shelter),2750 120th Street,Holiday Gas Station,Chippewa Falls,WI,54729,United States,Central,C,"44.883096,-91.427794",903,
CHS,"Charleston, South Carolina",Y,Station Building (with waiting room),4565 Gaynor Avenue,,North Charleston,SC,29405,United States,Southern,E,"32.874866,-79.998002",20,549000
CHW,"Charleston, West Virginia",Y,Station Building (with waiting room),350 MacCorkle Avenue - Southeast,(adjacent to South Side Bridge),Charleston,WV,25314,United States,Mid-Atlantic,E,"38.346368,-81.638494",606,51846
CIC,"Chico, California",N,Platform only (no shelter),450 Orange Street,West 5th and Orange Streets,Chico,CA,95928-4602,United States,Pacific,P,"39.723259,-121.845861",188,35000
CIN,"Cincinnati, Ohio",Y,Station Building (with waiting room),1301 Western Avenue,Cincinnati Union Terminal,Cincinnati,OH,45203-1130,United States,Central,E,"39.109927,-84.537061",503,551891
CLA,"Claremont, New Hampshire",N,Platform only (no shelter),Plains Road and Maple Avenue,,Claremont,NH,03743,United States,Northeast,E,"43.368330,-72.377644",466,13264
CLB,"Columbia, South Carolina",Y,Station Building (with waiting room),850 Pulaski Street,,Columbia,SC,29201,United States,Southern,E,"33.994297,-81.040490",193,113542
CLC,"Cadillac, Michigan",N,Curbside Bus Stop only (no shelter),951 Casa Road,Wexford Transit Office,Cadillac,MI,49601-8624,United States,Central,E,"44.270402,-85.389748",1318,10300
CLE,"Cleveland, Ohio",Y,Station Building (with waiting room),200 Cleveland Memorial Shoreway,,Cleveland,OH,44114,United States,Central,E,"41.505787,-81.696172",594,573822
CLF,"Clifton Forge, Virginia",N,Station Building (with waiting room),307 East Ridgeway Street,CSX Office Building,Clifton Forge,VA,24422,United States,Mid-Atlantic,E,"37.814521,-79.827363",1058,4040
CLK,"Crater Lake, Oregon",N,Curbside Bus Stop only (no shelter),Rim Drive,Community House at Rim Village,Crater Lake,OR,97604,United States,Pacific Northwest,P,"42.910901,-122.145006",7115,
CLM,"Claremont, California",N,Platform with Shelter,200 West First Street,Metrolink Station,Claremont,CA,91711,United States,Southwest,P,"34.094469,-117.716857",1156,110000
CLN,"Clinton, Connecticut",,Pseudo Station,10 John Street Extension,,Clinton,CT,06413,United States,Shore Line East,E,"null,null",,
CLP,"Culpeper, Virginia",N,Platform only (no shelter),109 South Commerce Street,,Culpeper,VA,22701,United States,Mid-Atlantic,E,"38.472360,-77.993421",415,13011
CLT,"Charlotte, North Carolina",Y,Station Building (with waiting room),1914 North Tryon Street,,Charlotte,NC,28206,United States,Southern,E,"35.241403,-80.822812",707,630478
CLV,"Cloverdale, California",N,Curbside Bus Stop only (no shelter),Citrus Fair Road and Asti Road,,Cloverdale,CA,95425,United States,Pacific,P,"38.798399,-123.011511",301,3989
CML,"Camarillo, California",N,Platform only (no shelter),30 Lewis Road,,Camarillo,CA,93010,United States,Southwest,P,"34.215933,-119.034114",150,45000
CMO,"Chemult, Oregon",N,Platform with Shelter,Palmer/Kranz Street and Depot Street,"Off Highway 97, center of town",Chemult,OR,97731,United States,Pacific Northwest,P,"43.216784,-121.781594",4764,437
CNH,"Concord, New Hampshire",N,Station Building (with waiting room),30 Stickney Avenue,Concord Transportation Center,Concord,NH,03301-5064,United States,Northeast,E,"43.212748,-71.534677",239,42970
CNL,"Colonel Allensworth Park, California",N,Platform only (no shelter),4011 Grant Drive,Stop for prearranged groups only,Earlimart,CA,93219,United States,Pacific,P,"35.864338,-119.385865",213,
CNV,"Castleton, Vermont",N,Station Building (with waiting room),266 Main Street,,Castleton,VT,05735-7716,United States,Northeast,E,"43.613382,-73.171337",425,
COC,"Corcoran, California",N,Station Building (with waiting room),1099 Otis Avenue,Otis and Whitley Avenues,Corcoran,CA,93212-2445,United States,Pacific,P,"36.098516,-119.557050",209,14458
COI,"Connersville, Indiana",N,Platform with Shelter,1012 Eastern Avenue,,Connersville,IN,47331,United States,Central,E,"39.645969,-85.133380",833,15550
COS,"Colorado Springs, Colorado",N,Station Building (with waiting room),120 South Weber Street,Greyhound Station,Colorado Springs,CO,80903,United States,Central,M,"38.831613,-104.820170",6002,290500
COT,"Coatesville, Pennsylvania",N,Platform with Shelter,Third Avenue and Fleetwood Street,,Coatesville,PA,19320,United States,Mid-Atlantic,E,"39.985688,-75.820929",368,11631
COV,"Connellsville, Pennsylvania",N,Platform with Shelter,North Water Street & West Peach Street,,Connellsville,PA,15425,United States,Mid-Atlantic,E,"40.020282,-79.592813",891,11000
COX,"Colfax, California",N,Platform only (no shelter),99 Railroad Street at Church Street,,Colfax,CA,95713,United States,Pacific,P,"39.098874,-120.952913",2426,971
CPK,"College Park, Maryland",,Pseudo Station,7202 Bowdoin Avenue,MARC Station,College Park,MD,20740,United States,MARC,E,"null,null",,
CPN,"Carpinteria, California",N,Platform with Shelter,475 Linden Avenue,at Fifth Street,Carpinteria,CA,93013,United States,Southwest,P,"34.396780,-119.522975",20,14600
CRC,"Crescent City, California",N,Curbside Bus Stop only (no shelter),1001 Front Street   ,RCT Bus Stop at Cultural Center,Crescent City,CA,95531,United States,Pacific,P,"41.752373,-124.193475",1,
CRF,"Crawfordsville, Indiana",N,Platform with Shelter,400 North Green Street,,Crawfordsville,IN,47933,United States,Central,E,"40.044705,-86.899187",743,15243
CRH,"Cherry Hill, New Jersey",N,Station Building (with waiting room),Cornell Avenue & West Marlton Pike,New Jersey Transit Station,Cherry Hill,NJ,08002,United States,Northeast,E,"39.928946,-75.041824",23,13238
CRM,"Carmel, California",N,Curbside Bus Stop only (no shelter),3645 Rio Road,at Chevron Station,Carmel,CA,93923-8609,United States,Pacific,P,"36.539400,-121.909263",34,3928
CRN,"Creston, Iowa",N,Platform with Shelter,Pine and Adams Avenue,,Creston,IA,50891,United States,Central,C,"41.056920,-94.361617",1313,8234
CRT,"Croton Harmon, New York",N,Station Building (with waiting room),1 Croton Point Avenue,,Croton-on-Hudson,NY,10520-3054,United States,Northeast,E,"41.189903,-73.882394",6,7000
CRV,"Carlinville, Illinois",N,Station Building (with waiting room),128 Alton Road,,Carlinville,IL,62626-1625,United States,Central,C,"39.279295,-89.889276",622,5714
CRY,Carry-on Charge,,Pseudo Station,,,,,,,,,"null,null",,
CSN,"Clemson, South Carolina",N,Station Building (with waiting room),Calhoun Memorial Highway and College Avenue,,Clemson,SC,29631,United States,Southern,E,"34.691115,-82.832501",721,12444
CTL,"Centralia, Washington",Y,Station Building (with waiting room),210 Railroad Avenue,,Centralia,WA,98531,United States,Pacific Northwest,P,"46.717470,-122.953062",189,10054
CUA,"Cumberland (Allegany College), Maryland",N,Curbside Bus Stop only (no shelter),12401 Willowbrook Road SE,Allegany College Ctr for Continuing Education,Cumberland,MD,21502,United States,Mid-Atlantic,E,"39.650452,-78.730438",659,30000
CUM,"Cumberland (Amtrak Station), Maryland",N,Station Building (with waiting room),201 East Harrison Street,,Cumberland,MD,21502,United States,Mid-Atlantic,E,"39.650628,-78.758000",643,30000
CUT,"Cut Bank, Montana",N,Station Building (with waiting room),101 BNSF Industrial Site,Off Central Avenue/Highway 213,Cut Bank,MT,59427-2934,United States,Pacific Northwest,M,"48.638364,-112.331584",3754,3105
CVD,"Camp Verde, Arizona",N,Curbside Bus Stop only (no shelter),365 North Goswick,Burger King # 7165,Camp Verde,AZ,86322-5201,United States,Southwest,M,"34.574530,-111.882742",3187,10610
